"","Actor1CountryCode","Actor2CountryCode","AvgTone","NumArticles","SQLDATE","Year","Actor1Geo_Lat","Actor1Geo_Long","ActionGeo_CountryCode","EventCode","EventRootCode","Actor1Geo_CountryCode","Actor2Geo_CountryCode","SOURCEURL"
"9566",NA,NA,"0","1","20150115","2015","35.95","39.0167","SY","195","19","SY",NA,"http://www.menafn.com/1094075506/16-civilians-killed-in-Daraa-by-Syrian-warplanes--SOHR"
"9567",NA,NA,"0.44476021668796","15","20150722","2015","35.95","39.0167","SY","190","19","SY",NA,"http://www.jpost.com/Breaking-News/US-allies-conduct-30-air-strikes-in-Syria-Iraq-409871"
"9568",NA,NA,"-4.92539341078426","12","20150704","2015","36.6816","38.9768","SY","192","19","SY",NA,"http://www.aljazeera.com/news/2015/07/kurdish-fighters-advance-isil-held-raqqa-150704053125806.html"
"9569","SYR",NA,"-6.12045379562445","80","20150706","2015","36.6816","38.9768","SY","190","19","SY",NA,"https://en-maktoob.news.yahoo.com/attacks-kurdish-held-town-near-syria-bastion-raqa-123912371.html"
"9570","SYR",NA,"-5.98802395209581","2","20160410","2016","36.6816","38.9768","SY","192","19","SY",NA,"http://aa.com.tr/en/live/syrian-opposition-forces-advance-against-daesh-in-aleppo-/551575"
"9571",NA,"IRQ","1.85615379727286","16","20130303","2013","35.95","39.0167","SY","194","19","SY","IZ","unspecified"
"9572",NA,"SYR","-8.15602836879433","2","20160122","2016","35.8469","38.5443","SY","180","18","SY","IZ","http://in.newshub.org/isis-kidnaps-400-civilians-syrian-city-deir-al-zor-monitor-20296474.html"
"9573",NA,"USA","2.79937791601866","6","20140818","2014","35.95","39.0167","SY","181","18","SY","US","http://www.usnews.com/news/newsgram/articles/2014/08/25/islamic-state-rival-releases-journalist-peter-theo-curtis-and-forces-retreat"
"9574","RUS","SYR","-8.53498919428972","6","20151219","2015","35.95","39.0167","SY","195","19","SY","RS","http://www.arabnews.com/middle-east/news/852551"
"9575","SYR",NA,"-5.54885404101327","1","20151009","2015","35.95","39.0167","SY","190","19","SY","RS","http://www.miamiherald.com/news/nation-world/article38310288.html"
"9576","USA","RUS","-5.41666666666667","8","20151103","2015","35.95","39.0167","SY","190","19","SY","RS","http://www.businessinsider.in/The-US-is-moving-jets-intended-for-air-to-air-combat-to-Syria-160and-Russia-might-be-why/articleshow/49651909.cms"
"9577",NA,NA,"1.15874855156431","1","20140131","2014","36.6816","38.9768","SY","190","19","SY","TU","http://www.dailystar.com.lb/News/Middle-East/2014/Feb-01/246038-rockets-bombs-rain-down-as-geneva-ends.ashx"
"9578","SYR",NA,"-4.84856994474234","42","20150828","2015","35.95","39.0167","SY","190","19","SY","US","http://www.kvor.com/news/prominent-isis-recruiter-killed-in-airstrike/"
